epoch,train_loss,accuracy,precision,recall,f1
1,0.244201,0.604545,0.771153,0.604545,0.506416
2,0.106980,0.834091,0.865515,0.834091,0.827698
3,0.055074,0.913636,0.915324,0.913636,0.913245
4,0.062999,0.918182,0.925350,0.918182,0.917299
5,0.022661,0.929545,0.932992,0.929545,0.929086
1,0.214333,0.734091,0.821482,0.734091,0.705654
2,0.070389,0.768182,0.837523,0.768182,0.749157
3,0.047481,0.913636,0.922901,0.913636,0.912514
4,0.028582,0.945455,0.946591,0.945455,0.945534
5,0.064135,0.765909,0.825161,0.765909,0.748430
